Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url 
"Jogging Track,Clubhouse,Waterfall,Function Room,Games Room,Basketball Court,Water Feature,Stove,Fridge,Dryer,Steam Room,Oven,Parking,Mid Floor,Pond,Sky Terrace,Security,Balcony,City View,Pavilion,Renovated,Closet,Swimming Pool,TV,Sofa,Greenery View,Bed,Aircon,Wading Pool,Jacuzzi,Fountain,Study Room,Fitness Corner,Dining Room Furniture,Washer,Fibre Ready,Lap Pool,Gym,BBQ,Playground",624 sqft (built up),"NEW LISTING
MID FLOOR WITH BALCONY
QUIET FACING LANDED PROPERTIES
BRIGHT AND BREEZY
1 BEDROOM + 1 STUDY
FURNISHED
AVAILABLE IN 3RD WEEK OF OCTOBER
VIEWINGS BY APPOINTMENTS IN ADVANCE


",D14,All races welcome,North South,,Fully Furnished,,24 months,Waterbank At Dakota,1 Bath,2 Beds,Allowed,S$5.13 psf,"S$3,200/mo",https://www.99.co/singapore/rent/property/waterbank-at-dakota-condo-dUco2Y9tZKJpUp9h6FqEMP
"Dishwasher,Patio / PES,Renovated,Aircon,High Ceiling,Stove,Fridge,Utility Room,Dryer,Oven,Washer,Fibre Ready,Closet","2,086 sqft (built up)","D15 TEMBELING ROAD @ EAST COAST ROAD KATONG SINGAPORE
2-STOREY CONSERVATION TERRACED HOUSE
2 BEDROOMS, 2 BATHROOMS AND A UTILITY ROOM
SPACIOUS LOUNGE AND DINING
OPEN CONCEPT MODERN KITCHEN AND APPLIANCES
FULLY AIR-CONDITIONED AND CEILING FANS
PRIVATE PATIO
LAND APPROXIMATELY 1,030 SQFT
BUILT UP APPROXIMATELY 2,086 SQFT
UNFURNISHED EXCEPT WHITE GOODS ARE PROVIDED
*FURNISHING SHOWN IN PHOTOS ARE FOR GUIDANCE/REFERENCE ONLY
RING/SMS/WHAT'S APP MICHELLE @ +65 98539886 FOR A PRIVATE VIEWING",D15,,West,,Unfurnished,,24 months,Tembeling Road,2 Baths,2 Beds,Allowed,S$2.88 psf,"S$6,000/mo",https://www.99.co/singapore/rent/property/tembeling-road-landed-XpYfcJbuZwvHtUmgCxe8wh
"Penthouse,Clubhouse,Renovated,Roof Terrace,Swimming Pool,Stove,Duplex / Maisonette,Fridge,Jacuzzi,Aircon,Wading Pool,Dryer,Parking,Washer,Gym,BBQ,Balcony","2,206 sqft (built up)","WHOLE UNIT FOR RENT
Palm Haven 
3BR Penthouse, 2206sqft

- Furnishings can be discussed (Partial/Fully Furnished)
- Minutes away from Kovan MRT Station
- Close to Serangoon Garden Village and market, shopping centres such as Kovan Centre, Heartland Mall for amenities such as supermarkets, restaurants, eating establishments, banks, shops etc and Serangoon Garden Country Club.
- Short drive to several good schools, such as Nanyang Junior College and Zhonghua Secondary School
- Short drive to CBD or the vibrant Orchard Road shopping district takes 15 - 20 minutes, via Central Expressway
- Facilities include swimming pool, BBQ pits, gym, and covered car park.
- All races Welcome
- Prefer professionals or small families

For viewing please feel free to contact Kris Aw ERA 98781591 now!",D19,All races welcome,,04,,,12 months,Palm Haven,3 Baths,3 Beds,,S$1.90 psf,"S$4,200/mo",https://www.99.co/singapore/rent/property/palm-haven-condo-JctkijW5YCyXhnGtT6dtvD
"Security,Renovated,Aircon,Greenery View,Gym,Fridge,Swimming Pool,Wading Pool,Jacuzzi,Playground,Oven,Parking,Washer,Stove,Balcony",624 sqft (built up),"The Sound
1+U
available 1st Feb 2019

14mins walk to Siglap Centre
11-13 mins drive to restaurants and cafes at the following Shopping Malls, I12 Katong, Katong V, Parkway Parade, Bedok Mall

Call Jenny Yong 81003946 for more information and viewing appointment",D15,All races welcome,North East,04,Partially Furnished,Yes,24 months,The Sound,2 Baths,1 Bed,Allowed,S$4.65 psf,"S$2,900/mo",https://www.99.co/singapore/rent/property/the-sound-condo-e6bRtMBvs26DDetxdHPY7a
"Pool View,Aircon,Closet,Sofa,Greenery View,Fibre Ready,Bed,Fridge,Low Floor,Utility Room,Oven,Dining Room Furniture,Washer,Patio / PES,Stove",850 sqft (built up),"Gold Palm Mansion
139 Lor K Telok Kurau

2 bedroom
850sqft
Asking $2,800
Available 15th Oct

2 bedroom + Utility 
1033sqft
Asking $2,950
#04-01
Available 24th Oct 2018
Fully Furnished


Walking distance to Kembangan MRT Station

Call Jenny Yong 81003946 for more information and viewing appointment",D15,All races welcome,North East,04,Partially Furnished,Yes,24 months,Gold Palm Mansions,2 Baths,2 Beds,Allowed,S$3.29 psf,"S$2,800/mo",https://www.99.co/singapore/rent/property/gold-palm-mansions-condo-vEZNjYkKs7MSYhK9eRFFnN
"Aircon,Closet,TV,Fridge,Bed,Utility Room,Dining Room Furniture,High Floor,Washer,Corner Unit","1,324 sqft (built up)","506 Woodlands Dr 14 HDB 5 room for Rent 
Available immediate 
Comes with spacious 4 bedrooms and 2 bathrooms  Fully Furnished
High floor 
Corner unit 
Bright 
No afternoon sun 
Keys in hand  

Call Jenny Yong 81003946 for more information and viewing appointment",D25,All races welcome,South East,09,Fully Furnished,Yes,12 months,506 Woodlands Drive 14,2 Baths,4 Beds,Not Allowed,S$1.59 psf,"S$2,100/mo",https://www.99.co/singapore/rent/property/506-woodlands-drive-14-hdb-XAiPH7WnN5wxRncWe8uW23
"Clubhouse,Roof Terrace,Loft,High Ceiling,Stove,Parking,Fridge,Dryer,Tennis Court,Oven,Dining Room Furniture,Security,Balcony,City View,Renovated,Closet,Swimming Pool,TV,Sofa,Greenery View,Duplex / Maisonette,Bed,Aircon,Wading Pool,Basketball Court,High Floor,Washer,Fibre Ready,Lap Pool,Gym,BBQ","1,173 sqft (built up)","Altez
Dont miss
Rare unit for RENT

16 Enggor Street
High floor
2 BR with Balcony RENT in Altez! 
High ceiling city-view living at it's best! 
1173sqft
Available for viewing

5 mins walk to Tanjong Pagar MRT
Next to 100am Mall and Icon Village

Available immediate

Call Jenny Yong 81003946 for more information and viewing appointment",D02,All races welcome,North East,46,Fully Furnished,,24 months,Altez,2 Baths,2 Beds,Allowed,S$6.99 psf,"S$8,200/mo",https://www.99.co/singapore/rent/property/altez-condo-YuFmMCKorkzmRgK5DvYHif
"Clubhouse,Roof Terrace,Stove,Fridge,Sauna,Walk In Closet,Dryer,Steam Room,Tennis Court,Oven,Parking,Fibre Ready,Security,Balcony,City View,Bathtub,Aircon,Maid Room,Greenery View,Duplex / Maisonette,Wading Pool,Swimming Pool,Utility Room,Jacuzzi,Playground,Fitness Corner,Washer,Pool View,Gym,BBQ","2,357 sqft (built up)","River Place
Triplex 3 bedroom for rent
#04-
Available Immediate

Near to Clarke Quay MRT Station and Future Fort Canning MRT Station
Side Gate to Robertson Quay
3 Bus Stop away from Raffles Place (bus 186)

Partial Furnished with Fully Furnished optional

Viewing by appointment

Call Jenny Yong 81003946 for more information and viewing appointment",D03,All races welcome,North,04,Partially Furnished,Yes,24 months,River Place,3 Baths,3 Beds,Allowed,S$3.18 psf,"S$7,500/mo",https://www.99.co/singapore/rent/property/river-place-condo-SLM9NCdodKi73ZB3Urdyxa
"Water Feature,High Ceiling,Stove,Fridge,Oven,Parking,Pavilion,Outdoor Dining,Security,Closet,Fun Pool,City View,Fibre Ready,Balcony,Renovated,Aircon,Maid Room,Greenery View,Wading Pool,Lounge,Swimming Pool,Utility Room,Spa Pool,Study Room,High Floor,Washer,Bathtub,Gym,Playground","1,906 sqft (built up)","Alba - Developer unit
8 Cairnhill Rise
Freehold

1 block
50 units
18 storeys

Private Lift Access
3+1
High floor
Available immediate
7 min to Orchard MRT Station

The city belongs to you at Alba – 
a limited collection of bespoke residences in the heart of prestigious Orchard Road. 

There's always something more to discover about Alba.
Alba is an architectural masterpiece created by Bernardo Fort-Brescia of award-winning US design firm Arquitectonica. 

A luxurious 50-unit freehold condominium that is poised to become the new icon of the city, every aspect of Alba is crafted with exquisite attention to detail. 

Its distinctive 3-units per floor Y-shaped layout plan provides each unit with greater living space and exclusivity.

Strategically located at Cairnhill Rise in the prime district 9, Alba offers the most enviable address. 

Alba is also within close proximity to Orchard MRT Station and in a 5-minute stroll you will arrive at Orchard Road, the longest shopping street in the world.

Personalised services from the Inessence Concierge team will complete your rich living experience.

Kindly call Jenny Yong 81003946 for more information and viewing appointment 

Features: Corner Unit, Park/Greenery View
Fixtures: Air Conditioning, Bathtub, Water Heater, Cooker Hob/Hood
Area: Balcony, Maidsroom",D09,All races welcome,South East,17,Partially Furnished,Yes,24 months,Alba,3 Baths,3 Beds,Allowed,S$5.35 psf,"S$10,200/mo",https://www.99.co/singapore/rent/property/alba-condo-EQ4FfAuLSJcrc2ZkGy5HKL
"Security,Aircon,Closet,Stove,Fridge,Bed,Jacuzzi,Swimming Pool,Dryer,Oven,Parking,Washer,Fibre Ready,Gym,Balcony",647 sqft (built up),"- Corner unit
- Minutes walk to MRT
- Come with balcony
- Fully Furnished
- Well Maintained
- Available immediately 
- Near many amenities and eateries

For viewing, please call Clarie Lee @ 91153945",D08,,,,,,Flexible,City Studios,2 Baths,2 Beds,,S$5.10 psf,"S$3,300/mo",https://www.99.co/singapore/rent/property/city-studios-condo-tF3LXUH7Z66Knonyj6JPQU
"Renovated,Aircon,TV,Gym,Fridge,Bed,Swimming Pool,Wading Pool,Playground,Parking,Washer,Pool View,Security,BBQ,Tennis Court","1,367 sqft (built up)","- Walking distance to MRT
- Pool View
- Big and Spacious
- Minutes to shopping mall
- Serene & Peaceful environment
- Partially & Fully furnished
- Well-kept
- Homey unit
- Rooms all fitted with air-con
- Fully Furnished
- Well-Maintained 

For viewing, please call Clarie Lee @ 91153945",D13,,,,,,Flexible,Euro-Asia Park,2 Baths,3 Beds,,S$2.56 psf,"S$3,500/mo",https://www.99.co/singapore/rent/property/euroasia-park-condo-VCXr4xbwFSmwq8kTTwBGYP
"Fitness Corner,Yoga Corner,Renovated,Closet,Swimming Pool,TV,Pool Deck,Fridge,Lounge,Aircon,Jacuzzi,Oven,Pond,High Floor,Washer,Games Room,BBQ,Balcony",680 sqft (built up),"- Minutes to MRT
- High Floor
- Brand new Furniture
- Well-Renovated
- Balcony comes with partial deck and jacuzzi
- Very close proximity to fine dinning, cafes, food courts and supermarket
- Gym and Private Jacuzzi on 15th floor
- Large pool and BBQ pits on entire 5th floor
- Additional large Jacuzzi with pool bar on entire 20th floor

For viewing, please call Clarie Lee @ 91153945",D08,,,,,,Flexible,Forte Suites,2 Baths,2 Beds,,S$4.41 psf,"S$3,000/mo",https://www.99.co/singapore/rent/property/forte-suites-condo-ZnTResosRHFBDXXQbK9abE
"Jogging Track,Water Feature,Stove,Parking,Fridge,Dryer,Steam Room,Oven,High Floor,Waterfall,Security,Balcony,Pavilion,Closet,Aircon,TV,Sofa,Bed,Swimming Pool,Sea View,Playground,Dining Room Furniture,Washer,Lap Pool,Gym,BBQ,Hydrotherapy Pool",904 sqft (built up),"🏠 FOR RENT:  2 Bedroom @ Coralis 🏠

✨ 2 bedroom with 2 balconies
✨ High floor offering sea view.
✨ 904 sqft with no odd layout
✨ Spacious Living and Dining area
✨ Enclosed kitchen with top and bottom cabinets for your cooking needs
✨ Master Bedroom ensuite that able to fit a King sized bed with amply walking space and comes with a balcony
✨ Common room can easily fit a Queen sized bed


📍Superb Location📍

📌 Many primary schools (Haig Girls' School, Tanjong Katong Primary School, Tao Nan School, CHIJ (Katong) Primary School etc), secondary school (Tanjong Katong Secondary School, Tanjong Katong Girls' School, Chung Cheng High School (Main), etc), Chatsworth International School & The Canadian International School within 1km 
📌 3 mins walk to upcoming Marine Parade MRT (TE26) station
📌 7 mins walk to Parkway Parade Shopping Centre
📌 Drop by within mins to East Coast park for your active lifestyle needs.
📌 Easy access to East Coast Expressway (ECP) for the drivers' convenience


📞Call/Whatsapp/SMS Edmund at 97871978 to view this lovely unit today!",D15,All races welcome,East,,Fully Furnished,,24 months,Coralis,2 Baths,2 Beds,,S$4.09 psf,"S$3,700/mo",https://www.99.co/singapore/rent/property/coralis-condo-pPnWV7uXmjR8YQGLg4NxqE
"Basketball Court,Stove,Parking,Fridge,Jacuzzi,Steam Room,Tennis Court,Oven,High Floor,Security,Balcony,City View,Closet,Aircon,Sofa,Bed,Wading Pool,Playground,Fitness Corner,Dining Room Furniture,Washer,Gym",904 sqft (built up),"🏠 FOR RENT: 2 Bedroom @ Centro Residences 🏠

✨ High floor 2 Bedroom unit offers unblocked view
✨ Partially or Fully furnished can be discuss.
✨ 904 sqft with spacious squarish layout with 2 baths. No odd shapes.
✨ Efficient layout that cater to no wasted space in the living area
✨ Enclosed kitchen with top and bottom cabinets to cook up a storm 
✨ Master bedroom that fit a King sized bed with a nicely renovated en suite toilet.
✨ Spacious common room that fit a super single with built-in wardrobe.


📍Superb Location📍
📌 Many primary schools (Jing Shan Primary School, Mayflower Primary School, Teck Ghee Primary School etc), secondary school (Deyi Secondary School, Anderson Secondary School, Yio Chu Kang Secondary School, Ang Mo Kio Secondary School etc) & Anderson Junior College within 1km 
📌 Ang Mo Kio MRT (NS16) right across the road 
📌 Right next to Ang Mo Kio Hub and Central for your retail therapy need
📌 Surrounding Ang Mo Kio Town Garden East & West or Bishan Park for your active lifestyle need
📌 Easy access to Central Expressway (CTE) for the drivers' convenience


📞Call/Whatsapp/SMS Edmund at 97871978 to view this lovely unit today!",D20,All races welcome,,,Fully Furnished,,24 months,Centro Residences,2 Baths,2 Beds,,S$4.42 psf,"S$4,000/mo",https://www.99.co/singapore/rent/property/centro-residences-condo-bHf4oHKeG44koV7aXJnhbW
"Clubhouse,High Ceiling,Gym,Dishwasher,Fridge,Waterfall,Oven,Parking,Sauna,Security,Balcony,Fun Pool,City View,Closet,Aircon,Pool Deck,Lounge,Utility Room,Jacuzzi,Fountain,Playground,Fitness Corner,High Floor,Washer,Lap Pool,BBQ","1,235 sqft (built up)","- Top floor panoramic view
- Spacious 3+1 unit
- Walking distance to MRT
- Prime location
- Near Orchard
- Bright and Windy
- Well-Maintained

For viewing, please call Clarie Lee @ 91153945 ",D09,,,,,,Flexible,Cairnhill Residences,2 Baths,3 Beds,,S$4.86 psf,"S$6,000/mo",https://www.99.co/singapore/rent/property/cairnhill-residences-condo-s6uq7Lov25nQFazpNqS9WY
"Function Room,Water Feature,Stove,Fridge,Spa Pavilion,Water Channel,Tennis Court,Undrewater Fitness Station,Pond,Outdoor Dining,Balcony,Fun Pool,Aircon,Hammocks,Lap Pool,Viewing Deck,Lounge,Swimming Pool,Fountain,Playground,Fitness Corner,High Floor,Reflexology Path,Gym,BBQ",431 sqft (built up),"🏠 FOR RENT: Studio @ North Park Residences 🏠

✨ High floor
✨ Partially furnished 431 sqft
✨ Regular layout that cater to no wasted space in the living area
✨ Stylish open concept kitchen with top and bottom cabinet  for your cooking needs
✨ Able to fit a King sized bed with ample walking space


📍 Superb Location 📍

📌 Many primary schools (Ahmad Ibrahim Primary School, Huamin Primary School, Jiemin Primary School, Northland Primary School, Xishan Primary School, Yishun Primary School etc), secondary school (Chung Cheng High School (Yishun), Northbrooks Secondary School, North View Secondary School, Yishun Town Secondary School, Yishun Secondary School etc) & Yishun Junior College within 1km 
📌 Stone throw away to Yishun MRT (NS13) station & bus interchange
📌 Northpoint City, Northpoint Shopping Centre & Yishun 10 are right downstairs for your retail needs
📌 Nee Soon East Community Club & Yishun Polyclnic are right at the corner
📌 6 mins to Yishun Nature Park & Yishun Pond Park for your active lifestyle needs.


📞Call/SMS/Whatsapp Edmund at 97871978 for your viewing appointment today!",D27,,South,,Partially Furnished,,24 months,North Park Residences,1 Bath,Studio,,S$5.34 psf,"S$2,300/mo",https://www.99.co/singapore/rent/property/north-park-residences-condo-goVEyhoVaXLwjdM6ayY5cP
"Pond,Pavilion,Aircon,Water Feature,Gym,Jacuzzi,Swimming Pool,Spa Pool,Parking,High Floor,Security,BBQ","1,142 sqft (built up)","38 DRAYCOTT DRIVE
=====•=====•=====•=====•=====•=====•=====
Please contact Fanny Kix @96371212 for viewing now! 

For Rent

• Prestigious City Centre Living in the Sky
• Glamourous Orchard Road address
• High floor, 1143sqf
• 2BR with Yard and Storage Room. View to believe!
• Exclusive and private 30 units development 
• Partially furnished and can Move In immediately 
• Walkable to prestigious schools fb Orchard shopping belt

Best,
☎️ Fanny Kix | 9637 1212 | OrangeTee+Tie Pte Ltd  

38 Draycott Drive is a freehold development located at 38 Draycott Drive, Singapore 259428, in District 10, minutes walk to Orchard MRT Station. Completed in 2002, it comprises 30 units. 38 Draycott Drive is close to Mount Elizabeth Hospital and it is just a short drive to the Singapore Botanic Gardens. 

Condo Facilities at 38 Draycott Drive

Facilities at 38 Draycott Drive include swimming pool, covered car park, 24 hours security, Jacuzzi, and gym. 

Condo Amenities near 38 Draycott Drive

Numerous feeder bus services are available a short walk away from 38 Draycott Drive. It is also close to several established local and international schools, such as the Raffles Girls’ School, Anglo-Chinese School, Overseas Family School, and ISS International School. 

38 Draycott Drive is just 5-minutes walk to the vibrant Orchard Road shopping district, where there are several one-stop shopping destinations, such as Ion Orchard, Takashimaya, Wisma Atria, and The Paragon. It is also close to esteemed clubs, such as American Club and Tanglin Club. 

For vehicle owners, driving to the business hub from 38 Draycott Drive takes about 15 minutes, via River Valley Road.",D10,All races welcome,,,,,24 months,38 Draycott Drive,2 Baths,2 Beds,,S$3.68 psf,"S$4,200/mo",https://www.99.co/singapore/rent/property/38-draycott-drive-condo-nHNCf7i2wyvNWR7wwgBLQY
"Aircon,Fridge,Bed,Utility Room,Dining Room Furniture,High Floor,Washer,Corner Unit","1,313 sqft (built up)","Convenient place next to Sheng Siong and NTUC fair price. food court, Hospital and school",D27,All races welcome,North,7,Fully Furnished,,Flexible,859 Yishun Avenue 4,2 Baths,3 Beds,Allowed,S$1.56 psf,"S$2,050/mo",https://www.99.co/singapore/rent/property/859-yishun-avenue-4-hdb-yoMq6jw3WPoUoywSMAynmT
"Renovated,Aircon,Greenery View,Jacuzzi,Fitness Corner,Parking,Security,Lap Pool,Gym","3,531 sqft (built up)","A place you can call HOME 
✓ Luxurious & elegant residential townhouse
✓ Villa style multi-storey with direct access to swimming pool
✓ Surrounded with greenery
✓ Few bus stops away from Haw Par Villa MRT
✓ Accessibilities: Detailed list of nearby amenities in slide 

Distinctive townhouse unit highlights
✓ 4 levels in total including basement (with 2 car park slots) & functional roof terrace
✓ Good layout orientation that offers spacious, bright, breezy & stress-free living experience for the professional & family lifestyle
✓ Brand-new condition
✓ One-time furniture purchase cap up to $5,000/- (via our authorised vendors)

For exclusive viewing, please contact Ken Chong @ +65-9738 2887

Multiple units available in hands. One call view all",D05,,,,,Yes,Flexible,Seahill,5 Baths,4 Beds,,S$2.72 psf,"S$9,600/mo",https://www.99.co/singapore/rent/property/seahill-condo-hGuLWa5rTmLm7A9F9CjJdN
"Stove,Parking,Fridge,Sauna,Sea View,Tennis Court,Oven,High Floor,Security,Balcony,Closet,Aircon,TV,Sofa,Bed,Swimming Pool,Wading Pool,Squash Court,Playground,Fitness Corner,Dining Room Furniture,Washer,Gym,BBQ",810 sqft (built up),"🏠 FOR RENT:  1 Bedroom @ Mandarin Gardens 🏠

✨ 1 bedroom with balcony
✨ High floor offering sea view.
✨ 810 sqft with no odd layout
✨ Spacious Living and Dining area
✨ Master Bedroom ensuite that able to fit a King sized bed with amply walking space


📍 Superb Location 📍

📌 Many primary schools (Ngee Ann Primary School etc), secondary school (CHIJ Katong Convent, St Patrick's School, Victoria School, etc), Global Indian International School (East Coast Campus), Sekolah Indonesia Singapura & Victoria Junior College within 1km 
📌 9 mins walk to upcoming Siglap MRT (TE28) station
📌 4 mins short drive to Parkway Parade Shopping Centre
📌 Drop by within mins through the underpass to East Coast park for your active lifestyle needs.
📌 Easy access to East Coast Expressway (ECP) for the drivers' convenience


📞Call/Whatsapp/SMS Edmund at 97871978 to view this lovely unit today!",D15,All races welcome,,,Fully Furnished,,24 months,Mandarin Gardens,1 Bath,1 Bed,,S$3.15 psf,"S$2,555/mo",https://www.99.co/singapore/rent/property/mandarin-gardens-condo-V52AiaHx94syjPadjtPSLD
"Renovated,Aircon,Bed,Swimming Pool,Wading Pool,Playground,Parking,High Floor,Security,Pool View,BBQ","1,076 sqft (built up)","- High Floor
- Pool View
- 3+1 renovated unit
- Near newton MRT
- Windy and Bright
- Big and Spacious
- Well Maintained

For viewing, please call Clarie Lee @ 91153945 ",D10,,,,,,Flexible,The Balmoral Spring,2 Baths,3 Beds,,S$4.00 psf,"S$4,300/mo",https://www.99.co/singapore/rent/property/the-balmoral-spring-condo-Hy44cAvY2C8t9U2RLCbiDh
"Clubhouse,Aircon,Closet,TV,Sofa,Gym,Fridge,Bed,Swimming Pool,Wading Pool,Squash Court,Playground,Parking,High Floor,Washer,Security,BBQ,Tennis Court",506 sqft (built up),"- Minutes to MRT
- High Floor
- Prime location
- Fully Furnished
- Shopping mall and amenities nearby
- Full condo facilities 
-  Bright and Breeze
- Available immediatly
- Well-Maintain unit

For viewing, please call Clarie Lee @ 91153945  
",D09,,,,,,Flexible,UE Square,1 Bath,1 Bed,,S$6.92 psf,"S$3,500/mo",https://www.99.co/singapore/rent/property/ue-square-condo-g8BdPifnSYbV9GpAr8zz2c
"Clubhouse,Water Feature,Gym,Fridge,Sauna,Waterfall,Tennis Court,Parking,Security,Games Room,Fun Pool,Pavilion,Closet,Aircon,TV,Sofa,Greenery View,Bed,Karaoke,Swimming Pool,Wading Pool,Jacuzzi,Playground,Fitness Corner,Dining Room Furniture,Washer,BBQ",980 sqft (built up),"- Move in condition
- Fully Furnished
- Spacious 2BR unit
- 5th floor
- Quiet & Serene Greenery environment
 - Able to move in on 15 Dec 2018

Hurry! Call Clarie Lee @ 91153945 for viewing today!",D23,,,,,,Flexible,Parkview Apartments,2 Baths,2 Beds,,S$2.45 psf,"S$2,400/mo",https://www.99.co/singapore/rent/property/parkview-apartments-condo-MxWzTr6dR8jorcZRvTRM9j
"Clubhouse,Fitness Corner,Renovated,Aircon,Greenery View,Fridge,Low Floor,Steam Room,Playground,Oven,Washer,Fibre Ready,Lap Pool,Gym,BBQ,Tennis Court",829 sqft (built up),"★★ Esparina Residences ★★
Zane Chew (65) 94778866

✔✔✔ Beautiful Renovated
✔✔✔ 3min walk to Buangkok MRT
✔✔✔ Spacious Room 
✔✔✔ 24 Hours Super Market & Dining 
✔✔✔ Retails Shops, Clinic & Fast Food 
✔✔✔ Future Integrated Development Next Door
✔✔✔ Future Neighbour Park
✔✔✔ Future G Hospital 5min Drive 


★  Just 5 years old
★  2 proper size bedrooms
★  Enclose Kitchen
★  2 bathrooms
★  Store Room/ Bomb-Shelter   
★  1 Balcony in living
★  Square spacious layout 
★  Beautiful pool facing
★  Fabulous 7 SPA resort facilities

★ CALL NOW
Zane Chew 
(+65) 94778866
www.zanechew.com",D19,,South,,Partially Furnished,,Flexible,Esparina Residences,2 Baths,2 Beds,,S$3.02 psf,"S$2,500/mo",https://www.99.co/singapore/rent/property/esparina-residences-condo-4WYAvF4vNrLkk9WodAAV9n
"Renovated,Closet,TV,Sofa,Stove,Fridge,Bed,Aircon,Oven,Dining Room Furniture,Washer,Corner Unit","1,184 sqft (built up)","- High Floor
- Unblock View
- Walking distance to MRT
- Corner with privacy unit
- Well Renovated
- Move in condition
- Spacious & good layout

Hurry! Call Clarie Lee @ 91153945 before it's taken!
 ",D23,,,,,,Flexible,691A Choa Chu Kang Crescent,2 Baths,3 Beds,,S$1.69 psf,"S$2,000/mo",https://www.99.co/singapore/rent/property/691a-choa-chu-kang-crescent-hdb-tDxCukVuy8Rr4YULEDBQqD
"Bathtub,Basketball Court,Aircon,Security,Stove,Fridge,Sauna,Jacuzzi,Swimming Pool,Utility Room,Dryer,Playground,Fitness Corner,Parking,High Floor,Washer,Fibre Ready,Gym,BBQ,Tennis Court","2,508 sqft (built up)","5 mins walk to Newton MRT and Newton Food Centre
Orchard Scotts Residences Shuttle Bus Mon- Fri
Aircon servicing in the lease undertake by Landlord

Photos as a guide only.",D09,All races welcome,,13,Partially Furnished,,24 months,Orchard Scotts,5 Baths,4 Beds,Allowed,S$4.78 psf,"S$12,000/mo",https://www.99.co/singapore/rent/property/orchard-scotts-condo-XNs7ZHecamXWsNYZMPEobW
"Clubhouse,Bomb Shelter,Jacuzzi,Aircon,Sofa,Greenery View,Tennis Court,City View,Fridge,Low Floor,Swimming Pool,Dryer,Playground,Oven,Dishwasher,Washer,Bathtub,Gym,BBQ,Balcony","1,088 sqft (built up)","Reflections @ Keppel Bay 
===================
* 2bedroom + 1 Home shelter 
* With balcony
* Available mid July onwards 
* min 2 years lease
* Fully furnished 
* Quiet facing with greenery and waterway view  
* Bight and windy

A TRUE & WORLD-CLASS LUXURIOUS WATERFRONT PRECINCT:
TOP RENT REASONS: 
=================
1) Reflections at Keppel Bay, one of the world's most architecturally daring icon, has been conferred the highest Gold award in the highly acclaimed FIABCI Prix d'Excellence Awards 2013.
2) Singapore's southern waterfront is buzzing with exciting activity and dramatic transformation. It is home to the multi-billion dollar mega Resorts World at Sentosa, Singapore largest shopping mall, VivoCity, and top tourist spot, Keppel Golf, Mount Faber and Labrador Park. 
3) Keppel Bay enjoys unique locational advantages with unblocked views of the surrounding sea and parks. Relaxed atmosphere with 750m of shores along the marina. 
4) Very EXCLUSIVE development with MODERN ARCHITECTURE, TOP QUALITY interior finishes, very good FACILITIES. 
5) Surrounded by panoramic views of Mt Faber, Keppel Golf Course, Labrador Park, Sentosa, Resorts World Sentosa and the city skyline. 

Mobile: +65 9797 2703 / 9631 8037
Email: assetsingapore@gmail.com
Edmund Tie & Co Property Network Pte Ltd 
(formerly DTZ Property Network Pte Ltd)
Best Regards ",D04,,,,Fully Furnished,,Flexible,Reflections At Keppel Bay,2 Baths,2 Beds,,S$4.41 psf,"S$4,800/mo",https://www.99.co/singapore/rent/property/reflections-at-keppel-bay-condo-VA9q4mNSzwWnP8mXpJVd3m
