Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url 
"Bomb Shelter,Aircon,Closet,TV,Sofa,Stove,Fridge,Bed,Swimming Pool,Dryer,Dining Room Furniture,Washer,Gym,BBQ,Balcony",667 sqft (built up),"Vibes @ east coast 
District 15
Telok kurau road 
Brand new2bedroom for rent
Duplex pent house 
Fully furnished

Nearest MRT : kembangan and Eunos MRT 
Nearest mall : Parkway parade and Katong mall

Condo Facilities at Vibes 

Facilities at Vibes include swimming pool, gym and BBQ pits. 

Condo Amenities near Vibes 

The schools in the vicinity include the elite CHIJ (Katong) Primary, Tao Nan School and St Patrick's School. 

For daily necessities, residents can head down to Parkway Parade and the new Katong Mall for amenities such as supermarkets, restaurants, banks, boutique shops, and more. 

For vehicle owners, driving from Vibes to either the business hub or the bustling Orchard Road shopping district takes about 15 minutes, via East Coast Parkway (ECP) and Pan Island Expressway (PIE) respectively.

Call 81681230 for viewing now",D15,,,,Fully Furnished,Yes,Flexible,Vibes @ East Coast,2 Baths,1 Bed,,S$3.30 psf,"S$2,200/mo",https://www.99.co/singapore/rent/property/vibes-east-coast-condo-ABkFG9WVNraaBDZNRiAsv7
"Patio / PES,Aircon,Maid Room,Gym,Swimming Pool,Jacuzzi,Bathtub,BBQ,Balcony","5,245 sqft (built up)","* Located in prestigous district 15
* Partially furnished with white goods
* Spacious, nicely renovated unit
* 4-bedrooms with 5 bathrooms & a helper’s room
* Swimming pool right at your doorstep
* Suitable for big families
* 8 to 10 mins walk to Kembangan MRT
* Directly opposite St Stephen School
* Within 1km of Opera Estate Primary School
* Within 2km of CHIJ Katong",D15,,,,Partially Furnished,,Flexible,Villas La Vue,5 Baths,4 Beds,,S$1.47 psf,"S$7,700/mo",https://www.99.co/singapore/rent/property/siglap-view-landed-LrsLRS8BrXjVs2WW3QEUde
"City View,Security,Aircon,Swimming Pool,Maid Room,Greenery View,Fridge,Sauna,Low Floor,TV,Wading Pool,Tennis Court,Playground,Parking,Dining Room Furniture,Washer,Gym,BBQ,Balcony","1,454 sqft (built up)","New Rental Listing at Parbury Hill Condominium 
- All are welcome to enquire
- Size 1474 sqft with High ceiling
- Low floor facing South
- Quiet, bright, Breeze, Greenery facing 
- 3BR with ensuite bathroom in every room
- Squarish Efficient Layout
- Kitchen with Yard   helper/ store room   helper toilet 
- Please allow 1 day notice to arrange viewing.
- Available for move in 5 Feb 2019

- 1.1km to Tanah Merah MRT
- Bus services : 853C, 43, 48, 10, 10E, 13, 14, 506, 46, 229, 
- 550m to Bayshore MRT (Year 2024)
- 650m to Bedok South MRT (Year 2024)
- Within 1KM to Temasek Primary and Haig Girls' School
- Less than 5 mins walk to Upper Changi NTUC
- Easy Access to airport / town via ECP / PIE
-Condo facilities include covered car park, 24 hours security, wading pool, swimming pool, BBQ pits, gym, tennis courts, sauna, and playground. 
-Completed in 1998, it has a total of 10 storey and comprises of 182 units.",D16,,South,,Fully Furnished,,Flexible,Parbury Hill Condominium,3 Baths,3 Beds,,S$2.41 psf,"S$3,500/mo",https://www.99.co/singapore/rent/property/parbury-hill-condominium-condo-zmAfy7eoPJSYnmoTZyZAkk
"High Floor,Bomb Shelter,Renovated,Aircon,Balcony","1,259 sqft (built up)","EXTREMELY RARE WELL KEPT 5 ROOM CORNER UNIT WITH UNBLOCKED GREENERY PARK VIEW @ PREMIUM STACK / FACING LIVING AREA & BEDROOMS FOR RENT @ PARK CENTRAL !!!

- PROPERTY SIZE: APPROX 117 SQM / 1259 SQFT !!!
- CORNER UNIT !!! ( ONLY 1 IMMEDIATE NEIGHBOUR !!! )
- EXTREMELY GOOD PRIVACY LAYOUT !!! 
- UNIT COMES WITH FULL HEIGHT WINDOW IN LIVING !!!
- EXTREMELY SPACIOUS & SQUARISH LIVING / DINING  AREA !!!  
- MODERN FULLY RENOVATED KITCHEN !!!
- UNIT ORGINALLY COMES WITH 3 VERY SPACIOUS & SQUARISH BEDROOMS !!!   
- ALL BEDROOMS INSTALLED WITH AIRCONS !!!
- EXTREMELY WELL KEPT & MAINTAINED UNIT !!!  
- VERY QUIET ENVIRONMENT !!! ( UNIT NOT FACING MAIN ROAD !!! ) 
- BEAUTIFULLY AND TASTEFULLY RENOVATED UNIT !!! 

*** TRAINS (MRT & LRT) *** -
ANG MO KIO MRT - 5 mins

*** PRIMARY SCHOOLS ***
Jing Shan Primary - 110m
Da Qiao Primary - 690m
Teck Ghee Primary - 750m

*** SECONADARY SCHOOLS ***
Anderson Secondary - 550m
Deyi Secondary - 680m
Chong Boon Secondary - 1.1km

*** SHOPPING MALLS ***
Jubilee Square - 550m
Djitsun Mall - 580m
AMK Hub - 580m

*** GROCERIES & SUPERMARTS ***
Giant (Cheng San Centre) - 150m
NTUC FAIRPRICE (Hyper Ang Mo Kio) - 580m
NTUC FAIRPRICE (Ang Mo Kio Blk 712) - 640m


View To Appreciate !!!


HURRY !!! DON'T MISS OUT !!!


Viewing by Appointment only.


Call Ken Tan @ 90055338 to arrange appointment !!",D20,,North South,,Fully Furnished,,Flexible,588A Ang Mo Kio Street 52,3 Baths,3 Beds,,S$2.30 psf,"S$2,900/mo",https://www.99.co/singapore/rent/property/588a-ang-mo-kio-street-52-hdb-J4QXpR8YXSNkPoADdHnUCg
"Fibre Ready,Renovated,Aircon,Maid Room,Greenery View,Fridge,Dual Key,Bathtub,Walk In Closet,Utility Room,Dryer,Study Room,Oven,Corner Unit,Washer,Patio / PES,Stove,Balcony","7,000 sqft (built up)","2 Storey Classic Good Class Bungalow @ Nassim Vicinity that is nestled in a private and sheltered area away from the street buzz.

Exclusive listing!
✅ Contact now for Flexible Viewing now!
✅ Keys on Hand!
Francis Wee ☎ : +65 8189 8089
Cheyenne Tan ☎ : +65 9762 2494
Dion Phua ☎ : +65 9113 6612
☎ 请拨打 : +65 8189 8089 / + 65 9762 2494 / +65 9113 6612

Formally a British Government owned Good Class Bungalow (GCB) which where the Deputy High Commissioner will stay.

A house with rich history, a stately old bungalow with the interiors updated.

Some words from Sally James’s memoir book titled Diplomatic Moves: Life in the Foreign Service describing the property they once lived in. 

“It is lovely and large, has a wing for lots of servants. There are three-quarters of an acre of garden and it is located just off the fashionable Orchard Road.”

Sally James and her husband Michael who was also a British Commissioner to Singapore in the mid-1980s stayed in the bungalow.

All 3 main bedrooms come with an En-Suite Bath.
A 4TH bedroom in the wing also comes with an En-Suite Bath.

There are easily 5 additional rooms in the wing which can be used for Helpers/Drivers Resting Quarters, Library, Kids Playroom, GYM or even Guesthouses.

The old charm 19TH Century Mansion comes with plenty of outdoor gardens and even a pool which can be reinstated.

Huge Dry and Wet Kitchen for whipping up tasty cuisines for your family and guest!

A home with lush greenery and lots of natural light, always bright and well ventilated with fresh air.

Do not miss your chance to stay in this Majestic and Characteristic house!",D10,All races welcome,,,Unfurnished,Yes,Flexible,Nassim Road,6 Baths,5 Beds,Allowed,S$4.00 psf,"S$28,000/mo",https://www.99.co/singapore/rent/property/nassim-road-landed-o3F2K2SgSCj59amEiqEjRL
"Ground Floor,Aircon,Closet,TV,Sofa,Fridge,Bed,Dining Room Furniture",613 sqft (built up),"Short walk to Macpherson interchange
Surrounded by many amenities like wet martket, eateries & many more
Ground floor unit
2 bedrooms with aircon
Fully furnished

Call or whatapp Bryan Lee 92270647 to view!

*** No agent fee on tenant!",D13,,,,Fully Furnished,,Flexible,30 Balam Road,1 Bath,2 Beds,Not Allowed,S$3.10 psf,"S$1,900/mo",https://www.99.co/singapore/rent/property/30-balam-road-hdb-dg7tRqCf28Z7zP7dTsPtEk
"City View,Dryer,Closet,Aircon,Washer,Bathtub,Fridge,Balcony","3,186 sqft (built up)","Ardmore Residence

4 + Maid's  room
Multiple units available
Price range $19k - $32k
Available immediate

Facilities & Services in Ardmore Residence

- Clubhouse with show kitchen equipped with oven, hob, fridge & wine chiller

- Gym

- 50m swimming pool with integrated spa pool

- Children's wading pool and playground

- Cabanas  & Sundecks

- BBQ area with dining terrace

- Spa room with steam room

- Basement car park with Luxalong louver ceiling and architectural lighting

- 24 hour property maintenance assistance

- Residence Concierge by Capella Singapore

call Alex Foong
81803824
alex.foong16@gmail.com",D10,All races welcome,North,,Partially Furnished,,Flexible,Ardmore Residence,4 Baths,4 Beds,Allowed,S$5.96 psf,"S$19,000/mo",https://www.99.co/singapore/rent/property/ardmore-residence-condo-dW78qzH7w5fapEEbquT3Nf
"Aircon,Water Feature,Gym,Pool Deck,Swimming Pool,Parking,Security,BBQ,Balcony",538 sqft (built up),"*VALID FROM JANUARY 2019
* IDEAL 2 BEDROOMS UNIT LAYOUT 
* WITH 1 BATHROOM 
* HIGH FLOOR
* QUIET FACING 
* SPACIOUS 
* BRIGHT AND WINDY 
* EXCLUSIVE FINISHINGS 
* REPAINTED WITH A NEW COAT OF PAINT
* WELL KEPT
* WELL MAINTAINED
* FULLY FURNISHED
* BEST STACK 
* HURRY! NOT TO BE MISSED 
* THANK YOU",D10,All races welcome,,,Fully Furnished,,Flexible,Stellar Rv,1 Bath,2 Beds,,S$5.02 psf,"S$2,700/mo",https://www.99.co/singapore/rent/property/stellar-rv-condo-VAaeofp4qJTyQeArMK2vBW
"Clubhouse,Steam Room,Tennis Court,Parking,Fun Pool,Aircon,Swimming Pool,Aerobic Pool,Pool Deck,Driving Range,Mini Golf Range,Spa Pool,Playground,Fitness Corner,High Floor,Security,BBQ","1,163 sqft (built up)","*HIGH FLOOR
*IDEAL 3 BEDROOMS UNIT LAYOUT
*SPACIOUS
*BRIGHT AND WINDY
*FULLY FURNISHED WITH NICE FURNITURES
*WELL KEPT
*WELL MAINTAINED
*A1 CONDITION
*RENOVATED
*BREATHLESS UNBLOCKED GREENARY VIEWS
*IMMEDIATE
*HURRY!! BEFORE UNIT IS TAKE UP AGAIN
*VALID FROM 28/08/2018",D05,,,,Fully Furnished,,Flexible,Blue Horizon,2 Baths,3 Beds,,S$3.18 psf,"S$3,700/mo",https://www.99.co/singapore/rent/property/blue-horizon-condo-B42Za966ZSFq75NZsQf96T
"City View,Security,Squash Court,Aircon,Maid Room,Greenery View,Gym,Fridge,Bed,Utility Room,Dryer,Playground,Oven,Parking,Washer,Wading Pool,Lap Pool,Stove,BBQ","2,152 sqft (built up)","Spacious 4 bedrooms + helpers room available for rent!

Call Xavier Tan @ 9791 8585 now for enquiries
- Corner unit
- 4 bedrooms + 1 helper room + 1 storeroom
- 4 bathrooms
- Spacious and open unit
- Breezy
- Quiet location
- Overlooked Yio Chu Kang Landed area
- No west sun
- Designated car park lot
- Full condominium facilities
- Last tenant stayed for 8 years and recently relocated back to US
- Viewing by appointment only

Call Xavier Tan @ 9791 8585 now for enquiries!",D28,All races welcome,,,,,24 months,Mimosa Park,4 Baths,4 Beds,,S$1.53 psf,"S$3,300/mo",https://www.99.co/singapore/rent/property/mimosa-park-condo-ApTXDMQjnPEvRqGbiqvJXH
"Bomb Shelter,Aircon,TV,Sofa,Bed,Low Floor,Dining Room Furniture,Washer","1,045 sqft (built up)","Blk 234 , Choa Chu Kang Central
3+1 , 
Less 10 mins walk to Choa Chu Kang MRT
Nearby Malls and shops
Partial / Fully Furnished


Avail : 1st October 
Asking : $2000

Call / Whats App @ 90621855
Azahari
R008739H
Your Estate Specialists LLP",D23,All races welcome,,,Fully Furnished,,Flexible,234 Choa Chu Kang Central,2 Baths,3 Beds,Allowed,S$1.91 psf,"S$2,000/mo",https://www.99.co/singapore/rent/property/234-choa-chu-kang-central-hdb-Bya5NW4vJYs6mGkhRUpM9i
"Stove,Fridge,Walk In Closet,Dryer,Oven,Closet,Balcony,Dishwasher,Renovated,Aircon,Maid Room,Sofa,Bed,TV,Utility Room,Study Room,Audio System,Dining Room Furniture,Washer,Bathtub",S$4.06 psf,"~ Prime One Tree Hill / Paterson Hill locale 
~ Nestled in the exclusive and tranquil landed-only estate at the heart of Orchard, rarely available 
~ Beautiful & elegant facade with excellent internal layout and luxurious finishes 
~ By architect renowned for designing 20+ bespoke houses in Sentosa Cove, etc 
~ Minutes' walk to ION Orchard, MRT, Wheelock Place, pre-school, international schools

Call William @ 9721 8288 to arrange for a viewing!",D10,All races welcome,,,Fully Furnished,,24 months,One Tree Hill,"4,560 sqft (built up)",5 Beds,Allowed,,"S$18,500/mo",https://www.99.co/singapore/rent/property/one-tree-hill-landed-Ss5jk5ohrHbLTXTwquVk3H
"Bathtub,Loft,Aircon,High Ceiling,Stove,Fridge,Sauna,Low Floor,Swimming Pool,Jacuzzi,Security,Parking,Mid Floor,High Floor,Washer,Pool View,Lap Pool,Gym,Closet",797 sqft (built up),"1 bedroom (Loft) unit

Level Rooms               sqft    Rent         Date available
#32 1 bedroom (Loft) 829  $4,950      20-Sep-18 Fully
#34 1 bedroom (Loft)  797  $4,800     19-Sep-18 Fully
#36 2 bedrooms (Loft) 1,076 $6,700  1-Sep-18 Fully
#38 2 bedrooms (Loft)  1,076 $6,800 Immed Fully


Located in the heart of Singapore’s Central Business District (CBD) and near the Marina Bay New Downtown and Chinatown, The Clift offers a unique living culture for those who enjoy the collaboration of modern and cultural living style.

The Clift is a 5-minute walk to Tanjong Pagar MRT station and just opposite the famous Amoy Food Centre and some of the best restaurants in Singapore. All the units at Clift offer chic loft layouts and are situated from 32nd floor to 42nd floor, offering spectacular views of the City and Harbour.


Facilities
Clubhouse Patio and Lounge
Deck Dining
Cabana Lounge
Waterwall Cascade
Pool Lounge Beds
Launderette
Snack bar
Massage Pavilion
Gymnasium
Lap Pool
Aqua Aerobics Pool


1) Min walk to Tanjong Pagar MRT
2) Opposite Amoy Street Food Center
3) Loft living
4) Within CBD area
5) Minimum 6 months lease",D01,,,,Fully Furnished,,12 months,The Clift,1 Bath,1 Bed,Allowed,S$6.01 psf,"S$4,788/mo",https://www.99.co/singapore/rent/property/the-clift-condo-Ekr5JpfQhhMGXDNZCbEbPV
"Clubhouse,Function Room,Water Feature,Stove,Timber Deck,Oven,Parking,Balcony,Fun Pool,City View,Renovated,Closet,Greenery View,Pool Deck,Utility Room,Spa Pool,Playground,Washer,Fibre Ready,BBQ,Gym,Fridge,Sauna,Dryer,Steam Room,Tennis Court,Pool View,Aircon,Maid Room,Swimming Pool,Waterfall,Fitness Corner,High Floor,Security,Bathtub,Reflexology Path","1,442 sqft (built up)","New list at Vermont. Full condo facilities. Newly available partially furnished. Full set of new and branded Miele kitchen appliances, white goods. Immediate. High floor with fantastic view. Mins to newton/sommerset MRT/orchard road. Immediate. View by exclusive appointment. Call 98447778 Jonathan propnex",D09,,,,Partially Furnished,,24 months,The Vermont On Cairnhill,3 Baths,3 Beds,Not Allowed,S$4.51 psf,"S$6,500/mo",https://www.99.co/singapore/rent/property/the-vermont-on-cairnhill-condo-ET7Zpe3J2L3HKiX68dgDNa
"Clubhouse,Stove,Parking,Fridge,Sauna,Squash Court,Tennis Court,Oven,High Floor,Security,City View,Closet,Aircon,TV,Sofa,Greenery View,Bed,Swimming Pool,Playground,Fitness Corner,Dining Room Furniture,Washer,Fibre Ready,Gym,BBQ",250 sqft (built up),"Bedroom with Ensuite bathroom for Single occupants

Prefer student/ single professional

7th floor

Owner stay (doctor family, welcome fellow medical practitioner too). Free Wifi

Utility charge at additional flat rate of S$50.

Light  cooking like boiling water and instant noodle are allow.

",D20,,,07,Fully Furnished,,12 months,Thomson View Condominium,1 Bath,1 Bed,Not Allowed,S$4.20 psf,"S$1,050/mo",https://www.99.co/singapore/rent/property/thomson-view-condominium-condo-7ApPw8BntCyx5KVUAiJ2HU
"Ground Floor,Aircon,Closet,Greenery View,Sauna,Low Floor,Swimming Pool,Utility Room,Tennis Court,Parking,Mid Floor,Security,Fibre Ready","1,528 sqft (built up)","3-5 minutes walk to Pasir Panjang MRT.

Near NUS/NUH/Science Park, Mapletree Business Centre.

Nestled in a secluded hillock along Pasir Panjang Road, Banyan Condo is the perfect home for a resort lifestyle. It is only minutes to Central Business District and situated near to Tanglin Trust School, National University of Singapore (NUS), National University Hospital (NUH), Science Parks and Biomedical Sciences, Infocomm Technology (ICT), Media, Physical Science and Engineering hub. Reaching anywhere with the Ayer Rajah Expressway (AYE) nearby is quick and convenient.

With the West Coast Park and Kent Ridge Park in the vicinity, you can wake up to the freshness of the morning breeze. Other nearby amenities include Vivocity, Pasir Panjang Wholesale Centre, Harbourfront Centre, Sentosa and Mount Faber.

*A minimum of 1 year lease term applies

Facilities
3-Tiered Clubhouse
Barbeque Pits
Children's Playground
Gymnasium
Jacuzzi
Lap Pool
Sauna
Swimming Pool and Reflective Pool
Tennis Court
Outdoor Fitness Area


#01, 1,668sqft $4,100, available from 8-Jul-18, Partial furnished
#02, 1,528sqft $3,900, immediate availability, Partial furnished
#04, 1,561sqft $3,800, available from 14-Jul-18, Partial furnished


*Photos are for illustration only. Might not be the actual unit.",D05,,,,Partially Furnished,,24 months,Banyan Condominium,3 Baths,3 Beds,,S$2.55 psf,"S$3,900/mo",https://www.99.co/singapore/rent/property/banyan-condominium-condo-jM8MmzGGeFVyH8rUjgjGjP
"City View,Aircon,Closet,Greenery View,Fridge,Utility Room,Study Room,Washer,Fibre Ready,Stove","3,000 sqft (built up)","Enjoy landed living in the East and a host of amenities and food options along East Coast Road and nearby malls such as Katong V and 112 Katong. 

Terrace homes at East Coast Road is within walking distance to East Coast Park as well as nearby renowned local and international schools. Easy access to ECP (East Coast Parkway) brings you to to the CBD within a 10-minute drive.

1) Short Walk to Parkway Parade & I12 Katong.
2) Walking distance to East Coast Park.
3) Straight bus to CBD/Raffles area via Bus 10.

4+S+U 3,071sqft  $5,600 Immed , Partial furnished",D15,All races welcome,,,Partially Furnished,,12 months,East Coast Road,4 Baths,5 Beds,Allowed,S$1.87 psf,"S$5,600/mo",https://www.99.co/singapore/rent/property/east-coast-road-landed-Pep2JmYPKMABHa3i8McDLJ
"Clubhouse,Roof Terrace,High Ceiling,Gym,City View,Fridge,Jacuzzi,Oven,Dishwasher,Patio / PES,Security,Balcony,Bomb Shelter,Corner Unit,Renovated,Aircon,Maid Room,Greenery View,Wading Pool,Swimming Pool,Utility Room,Study Room,Sauna,Washer,Fibre Ready,BBQ,Playground","3,700 sqft (built up)","District 9, 10 or 11 landed houses for rental :

Eleven@Holland , cluster semi-D with private lift, 3700sqft, 5 bedrooms, swimming pool, BBQ, Gym, playground,  near Sixth Ave mrt but not within walking distance.  Ask from $8k to $11k

53A Merryn Rd, land 5300sqft, BU 6000sqft, 5+1, 2.5 sty bungalow with pool, 700m walk to Steven mrt Ask $15.5k

20A Tan Kim Cheng , land 4310sqft, BU 7400sqft, 5+1, 5 ensuite,  maid room, 3 sty bungalow with lap pool, jacuzzi, private lift, garden, sky terrace, powder room, 5 minutes walk to Botanic Garden mrt Ask $18k (can try $16.5k)

21, The Greenwood ,  land 7016sqft, BU 6814sqft, 7+Study+Utility, 3 sty bungalow, Ask $16k

Greenwood Mews, cluster housing, 5+Utility, 3sty+basement+roof terrace, 3100sqft , $8.9k

41 One Tree Hill, Semi-D, 5+1+pool,  land 2300sqft, BU 4180sqft, 5+1, 2.5 sty, walk to Orchard mrt Ask $15.5k

16A Barker Rd, land 2800sqft, BU 5100sqft, 5+1+Family +pool, 2.5 sty Semi-D, near ACS (Barker) Ask $16k

396A Dunearn Rd,  land 3800sqft, BU 6100sqft, 7+1+pool, 2.5 sty Semi-D, 5 minutes walk to Tan Kah Kee or Botanic Garden mrt Ask $14.5k


Lornie 18 Cluster bungalows with private lift , 4400sqft, 5br, 2.5 sty bungalow with pool, children’s pool, Balinese garden,  Ask $9k to $12k

51 Linden Drive , land 4700sqft, BU 5500sqft, 5+1, 2.5 sty bungalow,  walk to Sixth Ave mrt Ask $12.5k



























Ang Mo Kio , Yio Chu Kang , Hougang , Buangkok , River Valley, Kim Yam, Great World City, Orchard , Tanglin, Steven, mrt, city, CBD, Ardmore, Primary, Secondary, Singapore, Tokyo, Japan, Otemachi, Martin Modern, Martin, Place, Condomimium, Somerset, Dhoby Ghaut, City Hall, Raffles Place, Tiong Bahru, D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D15, D16, Dimensions, school, International, foreigner, eligible, Freehold, 1 bedroom, 2 bedrooms, 3 bedrooms, 4 bedrooms, 5 bedrooms, Chinatown, Shenton, MBS, Sentosa, Marina, Bugis, Bukit Timah, Botanic , Garden, Tan Kah Kee, Newton, Novena, holland",D10,All races welcome,South,,Partially Furnished,,12 months,Eleven @ Holland,5 Baths,5 Beds,Allowed,S$2.16 psf,"S$8,000/mo",https://www.99.co/singapore/rent/property/holland-link-landed-7kXi9Y8Tiq9Ur94A9vU6zK
"High Ceiling,Stove,Fridge,Walk In Closet,Jacuzzi,Oven,Parking,Security,Balcony,Pool View,Closet,Aircon,Greenery View,Wading Pool,Swimming Pool,Utility Room,Playground,Audio System,Washer,Bathtub,Gym,BBQ","1,745 sqft (built up)","Duet Apartment For Rent or Lease 
*Rare modern apartment with large balcony facing pool and unblock greenery*
- 1744 sq ft
-  $5,900 per month negotiable 
- High floor, Pool & Greenery View
- 3 bedroom plus store room
- Available Immediate
- Private lift lobby
- Facilities include pool / gym / playground / BBQ
- 15-mins walk to Farrer Road MRT
- 10 minutes walk to Botanic Gardens and Holland Village
- Easily accessible by PIE 
- 5 minutes drive to Orchard Road
- 10-minutes walk to Empress Market for your fresh grocery
- Tenants and agents welcome

Please contact Jessica on +65 9338 2828. 
",D10,All races welcome,North,,Partially Furnished,Yes,Flexible,Duet,3 Baths,3 Beds,Allowed,S$3.38 psf,"S$5,900/mo",https://www.99.co/singapore/rent/property/duet-condo-GFyraAVkRVuaFwLRBb7XTR
"Bomb Shelter,Aircon,TV,Sofa,Gym,Fridge,Bed,Jacuzzi,Swimming Pool,Dryer,Parking,Dining Room Furniture,Washer,Security",500 sqft (built up),"Rv edge 
River valley/District 10
2 Bedroom for rent
Good layout
Fully Furnished
Available immediate
Nearest mrt Tiong Bahru MRT or Sommerset MRT
minutes to great world city and eateries
Multiple units
Call 81681230 for viewing now",D10,All races welcome,,,Fully Furnished,Yes,Flexible,Rv Edge,1 Bath,2 Beds,,S$5.00 psf,"S$2,500/mo",https://www.99.co/singapore/rent/property/rv-edge-condo-vQnjZAyrdBX6wzxWD9xNpY
"Clubhouse,Stove,Fridge,Sauna,Low Floor,Sea View,Steam Room,Oven,Parking,Security,Aircon,TV,Sofa,Bed,Jacuzzi,Audio System,Dining Room Furniture,Washer,Fibre Ready,Lap Pool,Gym,BBQ",624 sqft (built up),"76 Shenton For Rent or Lease
- 1-bedroom apartment
- 624 sq. ft.
- FullyFurnished
- Good Layout
- Modern and bright
- Sea view 
- No afternoon sun
- Minutes to Tanjong Pagar MRT (1 station from Raffles Place MRT)
- Pool, Jacuzzi, Massage Spas, Gym and BBQ

Viewing anytime. Co-broke welcome!
Please contact Jessica on +65 9338 2828.

莱佛士坊公寓出租
面积： 624 平方英尺 
卧室： 1
浴室:    1
- 低楼层
- 步行5分钟即可到丹戎巴葛铁站

如果您有任何产业需求，欢迎联系杨小姐. 谢谢
手机号码：(+65) 9338 2828",D02,All races welcome,North,,Fully Furnished,Yes,Flexible,76 Shenton,1 Bath,1 Bed,Not Allowed,S$5.61 psf,"S$3,500/mo",https://www.99.co/singapore/rent/property/76-shenton-condo-hJkXfP6EFHL72Z3zRKnXGX
"City View,Security,Aircon,Closet,Greenery View,Fridge,Swimming Pool,Squash Court,Tennis Court,Parking,Mid Floor,High Floor,Washer,Fibre Ready,Stove,Balcony",990 sqft (built up),"Pastoral View for rent!

Walking distance to Novena mrt!!!

Pastoral View is located in district 12 of Singapore and within close proximity to food & shopping belt. Balestier Hill Shopping Centre & Toa Payoh Entertainment Centre is located near this development.

Pastoral View is easily accessible via nearby Novena MRT Station with the public bus stop just a stone's throw away.

Level Rooms      sqft    Rent        Date available
#07     1               614 $2,650      20-Sep-18 Partial
#10     2               990 $3,600       Immed Partial

Facilities
Tennis Court
Swimming Pool
Squash Court
Car Park",D11,All races welcome,,,Partially Furnished,,12 months,Pastoral View,2 Baths,2 Beds,Allowed,S$3.59 psf,"S$3,550/mo",https://www.99.co/singapore/rent/property/pastoral-view-condo-tuYpPrEVGvsJdvPdbAPAWj
"Bomb Shelter,Fibre Ready,Aircon,Closet,Stove,Fridge,Bed,High Floor,Washer,Corner Unit","1,399 sqft (built up)","ERA Home Explorer Group

- Near Boon Lay MRT, Jurong Point, bus stop, schools and more
- High floor, corner unit
- Partial furnished with aircon
- Spacious unit with open view
- Available immediate

Call KJ @ 90020500 for viewing today",D22,All races welcome,,,Partially Furnished,,12 months,669C Jurong West Street 64,2 Baths,3 Beds,,S$1.72 psf,"S$2,400/mo",https://www.99.co/singapore/rent/property/669c-jurong-west-street-64-hdb-CGYRsi2mU3fnxarTcr9voN
"Renovated,Closet,Sofa,Fridge,Bed,Aircon,Dining Room Furniture,High Floor,Washer","1,200 sqft (built up)","5-ROOM HDB at Bedok Reservoir For Rent/Lease
- Recently Renovated
- Fully furnished
- High Floor, Unblocked view
- Large balcony
- Next to Telok Kurau School
- Available from 1 March 2019 
- 2 bedrooms are air conditioned
- Spacious living room and kitchen
- Dual door entrance
- Lift landing on same floor
- 1 queen bed in master bedroom, 2 single beds in 1 bedrooms, 1 single bed in last bedroom with desk and bookshelf
- Cupboards provided
- Washing machine provided
- Water heaters provided in both toilets
- Dining table and chairs provided
- Sofa and coffee table provided
- Broadband, electricity and water utilities charges to be borne by Tenant

Tenants and agents welcome! 

Please call or whatsapp Jessica on +65 9338 2828.",D16,All races welcome,North,,,Yes,Flexible,601 Bedok Reservoir Road,2 Baths,3 Beds,Not Allowed,S$2.00 psf,"S$2,400/mo",https://www.99.co/singapore/rent/property/601-bedok-reservoir-road-hdb-mcLRJw7hmPX66VWC2mTVMc
"Bomb Shelter,Aircon,Closet,TV,Sofa,Stove,Fridge,Bed,Dining Room Furniture,High Floor,Washer,Fibre Ready","1,194 sqft (built up)","ERA Home Explorer Group

- Minutes walk to Jurong Point, Boon Lay MRT and more
- High floor, windy unit
- Full furnished with aircon
- Available 31st Jan
- All are welcome

Call KJ @ 90020500 for viewing",D22,All races welcome,,,Fully Furnished,,12 months,685A Jurong West Street 64,2 Baths,3 Beds,,S$2.09 psf,"S$2,500/mo",https://www.99.co/singapore/rent/property/685a-jurong-west-street-64-hdb-b7ifjpAHHCFoBeVMexcNGS
"Clubhouse,Stove,Fridge,Dryer,Tennis Court,Oven,Parking,Security,Basketball Court,City View,Closet,Aircon,TV,Sofa,Bed,Swimming Pool,Wading Pool,Dining Room Furniture,Washer,Lap Pool,Gym,BBQ",549 sqft (built up),"Altez is a 99-years leasehold condominium development located at 16, Enggor Street, Singapore 079717 in District 02, in the heart of the Central Business District area. ... It is within walking distance to Tanjong Pagar MRT station. ... Explore other options in and around Chinatown ...

At a staggering 250 metres, Altez brings a new perspective to the term “high-life”. The 62-storey development offers panoramic views of the sea and the city, and full condominium facilities. Just two minutes’ walk from Tanjong Pagar MRT Station, residents enjoy excellent access to the Central Business District and the Marina Coastal Expressway (MCE).

The development is also directly linked to Icon Village, a destination mall designed to create a cosmopolitan lifestyle, and a short walk away from 100 AM retail mall.
",D02,,,,Fully Furnished,Yes,Flexible,Altez,1 Bath,1 Bed,,S$6.92 psf,"S$3,800/mo",https://www.99.co/singapore/rent/property/altez-condo-UsN97axAUdcAZhPEqvKY2D
